model,display_name,sequence_idx,successful_subtasks,sequence
act_lang_B_100k,ACT-Lang-B 100k,655,0,turn_on_lightbulb -> move_slider_right -> rotate_red_block_right -> open_drawer -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,656,0,move_slider_right -> lift_pink_block_slider -> place_in_drawer -> push_blue_block_right -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,657,0,move_slider_right -> push_pink_block_left -> lift_pink_block_table -> stack_block -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,658,0,push_red_block_right -> close_drawer -> lift_blue_block_slider -> place_in_slider -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,659,1,rotate_pink_block_left -> lift_pink_block_table -> place_in_drawer -> turn_on_lightbulb -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,660,1,push_pink_block_left -> turn_on_lightbulb -> lift_red_block_slider -> stack_block -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,661,0,open_drawer -> rotate_blue_block_right -> lift_blue_block_table -> place_in_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,662,0,lift_pink_block_table -> place_in_slider -> turn_on_lightbulb -> move_slider_left -> push_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,663,0,push_red_block_right -> turn_off_led -> lift_red_block_table -> place_in_slider -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,664,0,move_slider_right -> turn_off_lightbulb -> lift_red_block_table -> place_in_slider -> push_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,665,0,turn_on_led -> open_drawer -> move_slider_right -> lift_pink_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,666,0,move_slider_left -> rotate_red_block_right -> turn_on_lightbulb -> lift_pink_block_slider -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,667,0,open_drawer -> lift_red_block_table -> place_in_slider -> turn_on_lightbulb -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,668,0,turn_on_lightbulb -> push_pink_block_right -> open_drawer -> lift_pink_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,669,0,turn_off_lightbulb -> rotate_pink_block_right -> move_slider_right -> open_drawer -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,670,0,lift_blue_block_slider -> place_in_slider -> push_pink_block_left -> move_slider_right -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,671,1,push_red_block_left -> lift_pink_block_table -> place_in_slider -> turn_off_led -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,672,0,push_pink_block_left -> turn_off_lightbulb -> open_drawer -> move_slider_left -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,673,0,turn_on_led -> rotate_red_block_right -> lift_red_block_table -> place_in_drawer -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,674,0,turn_off_lightbulb -> push_blue_block_left -> push_into_drawer -> move_slider_right -> lift_blue_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,675,0,push_into_drawer -> lift_red_block_drawer -> place_in_slider -> close_drawer -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,676,0,turn_on_led -> lift_red_block_table -> stack_block -> move_slider_right -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,677,1,push_pink_block_left -> push_into_drawer -> lift_red_block_slider -> place_in_drawer -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,678,0,push_red_block_left -> lift_red_block_table -> place_in_drawer -> turn_on_led -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,679,0,rotate_pink_block_right -> lift_pink_block_table -> stack_block -> turn_off_lightbulb -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,680,0,move_slider_left -> close_drawer -> turn_on_lightbulb -> rotate_blue_block_left -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,681,0,lift_pink_block_table -> place_in_drawer -> turn_off_led -> move_slider_left -> rotate_red_block_right
act_lang_B_100k,ACT-Lang-B 100k,682,0,lift_red_block_slider -> place_in_slider -> move_slider_right -> push_pink_block_left -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,683,1,open_drawer -> turn_on_lightbulb -> push_red_block_right -> push_into_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,684,0,turn_on_led -> open_drawer -> lift_pink_block_table -> place_in_slider -> rotate_red_block_right
act_lang_B_100k,ACT-Lang-B 100k,685,0,rotate_pink_block_right -> turn_on_lightbulb -> lift_pink_block_table -> stack_block -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,686,0,rotate_blue_block_right -> turn_off_led -> lift_red_block_slider -> place_in_drawer -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,687,0,move_slider_left -> lift_red_block_table -> place_in_slider -> push_pink_block_left -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,688,0,push_red_block_left -> move_slider_right -> lift_red_block_table -> place_in_drawer -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,689,0,move_slider_right -> open_drawer -> push_blue_block_right -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,690,1,push_pink_block_left -> lift_red_block_slider -> place_in_slider -> open_drawer -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,691,0,push_pink_block_right -> move_slider_left -> open_drawer -> turn_on_led -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,692,0,turn_on_lightbulb -> lift_pink_block_slider -> stack_block -> open_drawer -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,693,0,rotate_red_block_right -> move_slider_left -> lift_red_block_table -> place_in_slider -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,694,0,move_slider_left -> rotate_pink_block_left -> open_drawer -> turn_on_lightbulb -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,695,0,rotate_blue_block_left -> push_into_drawer -> turn_on_led -> lift_blue_block_drawer -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,696,0,move_slider_right -> turn_off_lightbulb -> rotate_pink_block_right -> lift_pink_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,697,0,lift_blue_block_table -> place_in_slider -> turn_on_led -> move_slider_left -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,698,0,move_slider_right -> turn_on_lightbulb -> lift_red_block_table -> place_in_drawer -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,699,1,push_pink_block_left -> lift_blue_block_table -> place_in_slider -> open_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,700,3,rotate_red_block_left -> lift_pink_block_slider -> place_in_slider -> move_slider_right -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,701,0,push_red_block_left -> lift_pink_block_slider -> place_in_slider -> move_slider_left -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,702,0,turn_on_lightbulb -> rotate_pink_block_right -> lift_red_block_table -> place_in_slider -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,703,0,rotate_blue_block_right -> lift_pink_block_slider -> place_in_slider -> push_into_drawer -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,704,0,rotate_pink_block_right -> lift_blue_block_table -> stack_block -> turn_on_led -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,705,0,lift_blue_block_table -> place_in_slider -> turn_off_lightbulb -> move_slider_left -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,706,1,close_drawer -> turn_off_lightbulb -> push_pink_block_right -> lift_pink_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,707,0,rotate_red_block_right -> open_drawer -> push_into_drawer -> lift_pink_block_slider -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,708,0,push_red_block_left -> turn_on_led -> lift_pink_block_table -> place_in_slider -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,709,1,close_drawer -> lift_red_block_table -> stack_block -> unstack_block -> rotate_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,710,0,rotate_blue_block_right -> move_slider_left -> turn_off_lightbulb -> lift_red_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,711,0,lift_blue_block_table -> stack_block -> unstack_block -> open_drawer -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,712,1,push_into_drawer -> move_slider_left -> lift_blue_block_drawer -> place_in_slider -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,713,0,move_slider_right -> open_drawer -> rotate_blue_block_right -> turn_off_lightbulb -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,714,2,lift_pink_block_table -> place_in_slider -> move_slider_left -> rotate_red_block_left -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,715,0,open_drawer -> lift_red_block_slider -> place_in_drawer -> move_slider_right -> rotate_blue_block_right
act_lang_B_100k,ACT-Lang-B 100k,716,0,turn_on_led -> push_blue_block_right -> lift_red_block_slider -> place_in_drawer -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,717,0,rotate_blue_block_right -> open_drawer -> lift_blue_block_table -> place_in_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,718,0,lift_pink_block_slider -> place_in_drawer -> turn_off_lightbulb -> rotate_red_block_left -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,719,0,rotate_blue_block_right -> close_drawer -> turn_on_led -> lift_pink_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,720,0,lift_pink_block_slider -> place_in_slider -> rotate_blue_block_right -> open_drawer -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,721,0,move_slider_left -> push_pink_block_left -> lift_pink_block_table -> stack_block -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,722,0,lift_pink_block_slider -> place_in_drawer -> turn_off_led -> rotate_red_block_left -> lift_pink_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,723,0,push_red_block_left -> turn_off_lightbulb -> move_slider_right -> lift_red_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,724,3,push_red_block_left -> move_slider_right -> close_drawer -> turn_on_led -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,725,1,open_drawer -> lift_red_block_table -> place_in_slider -> move_slider_right -> rotate_blue_block_right
act_lang_B_100k,ACT-Lang-B 100k,726,0,turn_on_led -> open_drawer -> lift_blue_block_slider -> place_in_drawer -> push_red_block_right
act_lang_B_100k,ACT-Lang-B 100k,727,0,lift_pink_block_table -> place_in_drawer -> close_drawer -> rotate_red_block_right -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,728,0,lift_pink_block_slider -> stack_block -> unstack_block -> open_drawer -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,729,0,rotate_blue_block_left -> move_slider_left -> lift_blue_block_table -> stack_block -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,730,0,rotate_blue_block_left -> turn_on_lightbulb -> open_drawer -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,731,0,rotate_pink_block_right -> turn_off_led -> close_drawer -> move_slider_right -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,732,0,push_blue_block_right -> turn_on_lightbulb -> open_drawer -> lift_blue_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,733,0,rotate_red_block_left -> move_slider_right -> turn_off_lightbulb -> open_drawer -> push_into_drawer
act_lang_B_100k,ACT-Lang-B 100k,734,0,move_slider_right -> turn_on_lightbulb -> rotate_blue_block_left -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,735,1,close_drawer -> move_slider_left -> rotate_blue_block_right -> lift_pink_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,736,1,push_blue_block_left -> turn_on_lightbulb -> close_drawer -> lift_blue_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,737,0,lift_pink_block_slider -> stack_block -> unstack_block -> push_red_block_left -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,738,1,push_blue_block_left -> turn_on_lightbulb -> move_slider_left -> lift_red_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,739,0,push_blue_block_right -> lift_red_block_slider -> place_in_slider -> turn_on_led -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,740,0,push_red_block_right -> move_slider_left -> open_drawer -> turn_on_lightbulb -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,741,2,open_drawer -> push_into_drawer -> lift_red_block_slider -> place_in_drawer -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,742,1,open_drawer -> turn_off_led -> rotate_pink_block_right -> lift_pink_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,743,0,lift_blue_block_table -> place_in_slider -> move_slider_left -> rotate_pink_block_right -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,744,0,rotate_red_block_right -> lift_red_block_table -> place_in_slider -> move_slider_left -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,745,1,push_red_block_right -> turn_off_lightbulb -> lift_pink_block_table -> stack_block -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,746,0,open_drawer -> rotate_red_block_left -> turn_off_led -> lift_red_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,747,1,lift_red_block_table -> place_in_slider -> turn_on_lightbulb -> move_slider_right -> push_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,748,0,open_drawer -> lift_red_block_table -> place_in_slider -> move_slider_left -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,749,0,push_blue_block_right -> turn_off_lightbulb -> move_slider_left -> close_drawer -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,750,1,push_into_drawer -> turn_on_lightbulb -> move_slider_left -> lift_pink_block_drawer -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,751,0,open_drawer -> rotate_red_block_left -> move_slider_right -> turn_on_lightbulb -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,752,0,turn_off_led -> move_slider_left -> rotate_red_block_left -> lift_red_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,753,0,move_slider_right -> open_drawer -> rotate_pink_block_right -> lift_pink_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,754,0,open_drawer -> push_blue_block_right -> move_slider_right -> turn_off_led -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,755,0,turn_on_lightbulb -> close_drawer -> rotate_pink_block_right -> lift_red_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,756,0,turn_on_led -> move_slider_right -> open_drawer -> push_pink_block_left -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,757,0,move_slider_left -> lift_red_block_slider -> place_in_drawer -> rotate_blue_block_left -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,758,0,turn_off_led -> close_drawer -> rotate_pink_block_left -> move_slider_left -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,759,0,move_slider_left -> push_into_drawer -> lift_blue_block_slider -> place_in_drawer -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,760,0,rotate_pink_block_right -> turn_off_lightbulb -> lift_pink_block_table -> place_in_slider -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,761,0,push_red_block_right -> turn_off_led -> lift_red_block_table -> place_in_drawer -> lift_red_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,762,0,move_slider_right -> push_red_block_left -> turn_off_lightbulb -> lift_blue_block_slider -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,763,0,rotate_red_block_right -> lift_blue_block_table -> place_in_drawer -> turn_off_led -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,764,0,turn_off_led -> close_drawer -> lift_pink_block_slider -> place_in_slider -> push_red_block_left
act_lang_B_100k,ACT-Lang-B 100k,765,0,move_slider_right -> rotate_blue_block_left -> lift_pink_block_slider -> place_in_slider -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,766,0,turn_off_led -> lift_blue_block_slider -> place_in_slider -> close_drawer -> rotate_red_block_left
act_lang_B_100k,ACT-Lang-B 100k,767,0,turn_on_led -> push_into_drawer -> close_drawer -> lift_blue_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,768,2,rotate_pink_block_left -> open_drawer -> move_slider_left -> push_into_drawer -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,769,0,move_slider_left -> open_drawer -> turn_on_lightbulb -> rotate_red_block_right -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,770,1,rotate_pink_block_left -> lift_blue_block_slider -> place_in_drawer -> turn_off_lightbulb -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,771,0,lift_blue_block_table -> place_in_drawer -> push_red_block_right -> move_slider_right -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,772,0,lift_blue_block_table -> place_in_slider -> close_drawer -> move_slider_right -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,773,0,push_blue_block_right -> turn_on_led -> lift_red_block_slider -> place_in_drawer -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,774,0,lift_pink_block_slider -> place_in_slider -> close_drawer -> rotate_red_block_left -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,775,0,turn_on_lightbulb -> push_blue_block_right -> lift_blue_block_table -> place_in_drawer -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,776,1,open_drawer -> move_slider_right -> turn_on_led -> push_into_drawer -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,777,0,turn_on_led -> open_drawer -> move_slider_right -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,778,1,open_drawer -> move_slider_right -> rotate_blue_block_right -> turn_off_lightbulb -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,779,0,move_slider_left -> rotate_blue_block_left -> open_drawer -> turn_on_lightbulb -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,780,1,move_slider_right -> lift_red_block_slider -> place_in_slider -> turn_on_lightbulb -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,781,2,lift_blue_block_table -> place_in_slider -> push_pink_block_left -> turn_off_lightbulb -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,782,1,close_drawer -> rotate_pink_block_left -> turn_off_led -> move_slider_left -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,783,0,rotate_pink_block_right -> turn_off_led -> open_drawer -> lift_blue_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,784,0,turn_off_lightbulb -> move_slider_right -> rotate_pink_block_right -> lift_red_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,785,0,push_red_block_left -> move_slider_left -> open_drawer -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,786,0,lift_pink_block_slider -> place_in_slider -> move_slider_left -> open_drawer -> push_blue_block_right
act_lang_B_100k,ACT-Lang-B 100k,787,0,turn_on_led -> rotate_blue_block_right -> lift_blue_block_table -> place_in_drawer -> lift_blue_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,788,0,lift_red_block_slider -> place_in_slider -> open_drawer -> turn_on_led -> push_blue_block_right
act_lang_B_100k,ACT-Lang-B 100k,789,0,lift_blue_block_slider -> place_in_slider -> rotate_pink_block_right -> close_drawer -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,790,0,rotate_blue_block_left -> lift_pink_block_slider -> place_in_slider -> close_drawer -> turn_off_led
act_lang_B_100k,ACT-Lang-B 100k,791,0,rotate_blue_block_left -> lift_blue_block_table -> place_in_drawer -> move_slider_right -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,792,0,lift_blue_block_slider -> place_in_drawer -> rotate_red_block_left -> turn_on_lightbulb -> lift_red_block_table
act_lang_B_100k,ACT-Lang-B 100k,793,0,turn_off_led -> push_pink_block_right -> open_drawer -> move_slider_right -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,794,0,push_red_block_left -> turn_off_led -> push_into_drawer -> lift_red_block_drawer -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,795,0,push_blue_block_left -> move_slider_right -> open_drawer -> turn_on_led -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,796,1,push_blue_block_left -> turn_on_led -> lift_pink_block_slider -> stack_block -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,797,0,move_slider_right -> push_red_block_left -> close_drawer -> turn_on_led -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,798,0,open_drawer -> push_red_block_left -> lift_pink_block_table -> place_in_slider -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,799,0,turn_on_lightbulb -> push_pink_block_left -> lift_blue_block_table -> place_in_slider -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,800,3,open_drawer -> lift_pink_block_slider -> place_in_drawer -> turn_on_lightbulb -> push_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,801,0,rotate_blue_block_right -> move_slider_right -> lift_red_block_table -> stack_block -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,802,0,turn_off_led -> move_slider_left -> rotate_blue_block_right -> lift_red_block_table -> stack_block
act_lang_B_100k,ACT-Lang-B 100k,803,0,turn_on_lightbulb -> move_slider_right -> lift_red_block_slider -> stack_block -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,804,0,push_pink_block_left -> close_drawer -> turn_off_led -> lift_blue_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,805,0,move_slider_right -> rotate_red_block_right -> lift_red_block_table -> place_in_slider -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,806,0,turn_off_led -> push_into_drawer -> lift_red_block_drawer -> place_in_slider -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,807,1,close_drawer -> lift_pink_block_table -> place_in_slider -> turn_on_led -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,808,1,close_drawer -> turn_on_lightbulb -> move_slider_right -> rotate_pink_block_left -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,809,1,push_pink_block_left -> turn_on_led -> move_slider_right -> push_into_drawer -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,810,1,close_drawer -> push_red_block_right -> lift_pink_block_table -> place_in_slider -> move_slider_right
act_lang_B_100k,ACT-Lang-B 100k,811,0,move_slider_left -> open_drawer -> lift_pink_block_table -> place_in_slider -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,812,1,push_red_block_right -> lift_blue_block_slider -> stack_block -> turn_off_led -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,813,0,rotate_red_block_right -> move_slider_right -> lift_red_block_table -> place_in_slider -> turn_on_led
act_lang_B_100k,ACT-Lang-B 100k,814,0,open_drawer -> move_slider_right -> turn_on_led -> rotate_blue_block_right -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,815,0,push_pink_block_left -> turn_on_led -> lift_red_block_table -> stack_block -> lift_blue_block_slider
act_lang_B_100k,ACT-Lang-B 100k,816,1,rotate_red_block_left -> turn_on_lightbulb -> push_into_drawer -> move_slider_left -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,817,0,move_slider_left -> push_red_block_left -> open_drawer -> lift_red_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,818,0,turn_off_lightbulb -> rotate_blue_block_right -> lift_pink_block_table -> stack_block -> lift_red_block_slider
act_lang_B_100k,ACT-Lang-B 100k,819,0,rotate_red_block_right -> open_drawer -> move_slider_left -> push_into_drawer -> turn_off_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,820,1,move_slider_right -> lift_red_block_slider -> place_in_drawer -> turn_on_lightbulb -> rotate_blue_block_left
act_lang_B_100k,ACT-Lang-B 100k,821,0,lift_red_block_table -> place_in_slider -> close_drawer -> rotate_blue_block_right -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,822,1,rotate_red_block_left -> lift_pink_block_slider -> place_in_drawer -> move_slider_left -> lift_pink_block_drawer
act_lang_B_100k,ACT-Lang-B 100k,823,1,move_slider_right -> rotate_pink_block_right -> lift_red_block_slider -> place_in_slider -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,824,0,turn_off_led -> rotate_red_block_right -> lift_blue_block_slider -> place_in_slider -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,825,0,move_slider_left -> rotate_pink_block_left -> turn_on_lightbulb -> lift_blue_block_slider -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,826,0,rotate_blue_block_right -> turn_off_lightbulb -> open_drawer -> move_slider_left -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,827,1,open_drawer -> turn_off_lightbulb -> lift_blue_block_table -> place_in_drawer -> rotate_red_block_left
act_lang_B_100k,ACT-Lang-B 100k,828,2,push_red_block_right -> close_drawer -> lift_red_block_table -> place_in_slider -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,829,1,rotate_blue_block_left -> open_drawer -> push_into_drawer -> lift_blue_block_drawer -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,830,1,rotate_pink_block_right -> lift_red_block_slider -> stack_block -> move_slider_right -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,831,0,turn_on_led -> push_pink_block_right -> open_drawer -> lift_pink_block_table -> place_in_drawer
act_lang_B_100k,ACT-Lang-B 100k,832,0,turn_on_led -> lift_blue_block_table -> place_in_slider -> rotate_pink_block_right -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,833,0,rotate_blue_block_right -> move_slider_left -> turn_off_lightbulb -> lift_pink_block_slider -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,834,0,move_slider_right -> lift_pink_block_slider -> place_in_drawer -> push_blue_block_left -> close_drawer
act_lang_B_100k,ACT-Lang-B 100k,835,1,push_into_drawer -> lift_blue_block_slider -> place_in_slider -> move_slider_right -> turn_on_lightbulb
act_lang_B_100k,ACT-Lang-B 100k,836,0,lift_red_block_slider -> place_in_slider -> open_drawer -> push_blue_block_left -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,837,0,turn_off_led -> push_pink_block_right -> lift_blue_block_slider -> place_in_slider -> lift_pink_block_table
act_lang_B_100k,ACT-Lang-B 100k,838,0,move_slider_right -> turn_on_lightbulb -> rotate_blue_block_left -> lift_blue_block_table -> place_in_slider
act_lang_B_100k,ACT-Lang-B 100k,839,0,push_red_block_right -> move_slider_left -> turn_on_lightbulb -> open_drawer -> lift_pink_block_slider
act_lang_B_100k,ACT-Lang-B 100k,840,0,rotate_blue_block_right -> lift_pink_block_slider -> place_in_slider -> turn_on_led -> lift_blue_block_table
act_lang_B_100k,ACT-Lang-B 100k,841,1,push_red_block_left -> move_slider_left -> lift_red_block_table -> place_in_slider -> open_drawer
act_lang_B_100k,ACT-Lang-B 100k,842,0,open_drawer -> lift_red_block_table -> place_in_slider -> rotate_pink_block_left -> move_slider_left
act_lang_B_100k,ACT-Lang-B 100k,843,1,rotate_red_block_right -> move_slider_left -> lift_red_block_table -> stack_block -> unstack_block
act_lang_B_100k,ACT-Lang-B 100k,844,0,move_slider_left -> open_drawer -> rotate_blue_block_right -> turn_on_led -> push_into_drawer
